Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R63,620,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,185.75,-222.425,180.0,bottom
R7,470,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,215.75,-207.125,180.0,bottom
R71,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,198.7,-180.1,180.0,top
R72,47k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,202.6,-180.1,180.0,top
R8,470,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,215.75,-204.625,180.0,bottom
R9,470,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,215.75,-202.0,180.0,bottom
U1,74HCT574,TSSOP-20_4.4x6.5mm_P0.65mm,200.41,-218.625,270.0,top
U2,74HCT574,TSSOP-20_4.4x6.5mm_P0.65mm,200.4125,-203.325,270.0,top
U3,74HCT574,TSSOP-20_4.4x6.5mm_P0.65mm,200.3875,-170.375,270.0,top
U4,74HCT574,TSSOP-20_4.4x6.5mm_P0.65mm,200.4125,-155.075,270.0,top
U5,74HCT574,TSSOP-20_4.4x6.5mm_P0.65mm,200.41,-147.425,90.0,top
U6,74HCT574,TSSOP-20_4.4x6.5mm_P0.65mm,200.4125,-162.775,90.0,top
U7,74HCT574,TSSOP-20_4.4x6.5mm_P0.65mm,200.4,-195.7125,90.0,top
U8,74HCT574,TSSOP-20_4.4x6.5mm_P0.65mm,200.41,-210.9475,90.0,top
U9,NE555,TSSOP-8_4.4x3mm_P0.65mm,200.61,-183.025,270.0,top
